Date,State_Name,Vegetable_Name,Whole_Price,Retail_Price,Shopping_Mall_Price,units,Vegetable_Image
2024-05-20,MADHYA PRADESH,Mushroom,83,95 - 105,100 - 137,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mushroom-64.png
2024-05-20,MADHYA PRADESH,Mustard Leaves,12,14 - 15,14 - 20,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mustardleaves-64.png
2024-05-20,MADHYA PRADESH,Ladies Finger,46,53 - 58,55 - 76,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ladiesfinger-64.png
2024-05-20,MADHYA PRADESH,Pumpkin,19,22 - 24,23 - 31,1kg,https://vegetablemarketprice.com/resource/images/vegetables/pumpkin-64.png
2024-05-20,MADHYA PRADESH,Radish,36,41 - 46,43 - 59,1kg,https://vegetablemarketprice.com/resource/images/vegetables/radish-64.png
2024-05-20,MADHYA PRADESH,Ridge Gourd,36,41 - 46,43 - 59,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ridgegourd-64.png
2024-05-20,MADHYA PRADESH,Shallot (Pearl Onion),32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/shallot-64.png
2024-05-20,MADHYA PRADESH,Snake Gourd,32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/snakegourd-64.png
2024-05-20,MADHYA PRADESH,Sorrel Leaves,17,20 - 22,20 - 28,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sorrelleaves-64.png
2024-05-20,MADHYA PRADESH,Spinach,12,14 - 15,14 - 20,1kg,https://vegetablemarketprice.com/resource/images/vegetables/spinach-64.png
2024-05-20,MADHYA PRADESH,Sweet Potato,39,45 - 50,47 - 64,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sweetpotato-64.png
2024-05-21,MADHYA PRADESH,Onion Big,23,26 - 29,28 - 38,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionbig-64.png
2024-05-21,MADHYA PRADESH,Onion Small,32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionsmall-64.png
2024-05-21,MADHYA PRADESH,Tomato,25,29 - 32,30 - 41,1kg,https://vegetablemarketprice.com/resource/images/vegetables/tomato-64.png
2024-05-21,MADHYA PRADESH,Green Chilli,60,69 - 76,72 - 99,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenchili-64.png
2024-05-21,MADHYA PRADESH,Beetroot,36,41 - 46,43 - 59,1kg,https://vegetablemarketprice.com/resource/images/vegetables/beetroot-64.png
2024-05-21,MADHYA PRADESH,Potato,36,41 - 46,43 - 59,1kg,https://vegetablemarketprice.com/resource/images/vegetables/potato-64.png
2024-05-21,MADHYA PRADESH,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg,https://vegetablemarketprice.com/resource/images/vegetables/plantain-64.png
2024-05-21,MADHYA PRADESH,Amaranth Leaves,15,17 - 19,18 - 25,1kg,https://vegetablemarketprice.com/resource/images/vegetables/amaranthleaves-64.png
2024-05-21,MADHYA PRADESH,Amla,65,75 - 83,78 - 107,1kg,https://vegetablemarketprice.com/resource/images/vegetables/amla-64.png
2024-05-21,MADHYA PRADESH,Ash gourd,21,24 - 27,25 - 35,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ashgourd-64.png
2024-05-21,MADHYA PRADESH,Baby Corn,61,70 - 77,73 - 101,1kg,https://vegetablemarketprice.com/resource/images/vegetables/babycorn-64.png
2024-05-21,MADHYA PRADESH,Banana Flower,16,18 - 20,19 - 26,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bananaflower-64.png
2024-05-21,MADHYA PRADESH,Capsicum,40,46 - 51,48 - 66,1kg,https://vegetablemarketprice.com/resource/images/vegetables/capsicum-64.png
2024-05-21,MADHYA PRADESH,Bitter Gourd,33,38 - 42,40 - 54,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bittergourd-64.png
2024-05-21,MADHYA PRADESH,Bottle Gourd,33,38 - 42,40 - 54,1kg,https://vegetablemarketprice.com/resource/images/vegetables/bottlegourd-64.png
2024-05-21,MADHYA PRADESH,Butter Beans,53,61 - 67,64 - 87,1kg,https://vegetablemarketprice.com/resource/images/vegetables/butterbeans-64.png
2024-05-21,MADHYA PRADESH,Broad Beans,69,79 - 88,83 - 114,1kg,https://vegetablemarketprice.com/resource/images/vegetables/broadbeans-64.png
2024-05-21,MADHYA PRADESH,Cabbage,30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cabbage-64.png
2024-05-21,MADHYA PRADESH,Carrot,41,47 - 52,49 - 68,1kg,https://vegetablemarketprice.com/resource/images/vegetables/carrot-64.png
2024-05-21,MADHYA PRADESH,Cauliflower,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cauliflower-64.png
2024-05-21,MADHYA PRADESH,Cluster beans,44,51 - 56,53 - 73,1kg,https://vegetablemarketprice.com/resource/images/vegetables/clusterbeans-64.png
2024-05-21,MADHYA PRADESH,Coconut,33,38 - 42,40 - 54,1kg,https://vegetablemarketprice.com/resource/images/vegetables/coconut-64.png
2024-05-21,MADHYA PRADESH,Colocasia Leaves,17,20 - 22,20 - 28,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasialeaves-64.png
2024-05-21,MADHYA PRADESH,Colocasia,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/colocasia-64.png
2024-05-21,MADHYA PRADESH,Coriander Leaves,5,6 - 6,6 - 8,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corianderleaves-64.png
2024-05-21,MADHYA PRADESH,Corn,30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/corn-64.png
2024-05-21,MADHYA PRADESH,Cucumber,25,29 - 32,30 - 41,1kg,https://vegetablemarketprice.com/resource/images/vegetables/cucumber-64.png
2024-05-21,MADHYA PRADESH,Curry Leaves,30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/curryleaves-64.png
2024-05-21,MADHYA PRADESH,Dill Leaves,13,15 - 17,16 - 21,1kg,https://vegetablemarketprice.com/resource/images/vegetables/dillleaves-64.png
2024-05-21,MADHYA PRADESH,Drumsticks,30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/drumsticks-64.png
